"","ax_total","bx_total","ax_clust1","bx_clust1","ax_clust2","bx_clust2","ax_clust3","bx_clust3","ax_clust4","bx_clust4"
"10",-8.23169845251594,0.0201396332291266,-12.0994240953028,0.0163367199799606,-9.45876836818603,0.0148706648898033,-9.06669540254819,0.0147219140432279,-11.8709963538185,-0.507050563609754
"11",-8.17046561339097,0.0189168664010513,-12.0358656113174,0.0170246556919461,-9.42026156319714,0.0155253089781982,-8.91261435614604,0.0149320721174783,-11.7603682263416,-0.431298654889803
"12",-8.10613827469673,0.0177703015947145,-11.9520613438911,0.0179080075549842,-9.37843366838032,0.0161934415785686,-8.75893214055062,0.0151667194896311,-11.6417075987154,-0.352847745958528
"13",-8.04103814859676,0.0167333129743883,-11.851086184962,0.0189835333923722,-9.33389683571573,0.0168855303695409,-8.6116562568273,0.0154024277954214,-11.5197591364598,-0.27464596132637
"14",-7.97688828832957,0.0158295268915782,-11.735374639026,0.0202470323726154,-9.28712872359809,0.017609096484672,-8.47516594433305,0.0156218682974722,-11.3980603699793,-0.198869666462152
"15",-7.91498457082225,0.0150757346715644,-11.6068881844691,0.0216938081515951,-9.23850858023656,0.018369583849015,-8.35268692720204,0.0158120588382305,-11.2792857447173,-0.127145751879397
"16",-7.85605613017637,0.0144778302843797,-11.4672953507958,0.0233068485583355,-9.1881667671512,0.0191633733595898,-8.2460663373407,0.0159622215725702,-11.1653299723908,-0.0606856674802169
"17",-7.79969045281425,0.0140167282040007,-11.3182190454897,0.0250259459933215,-9.1355525322347,0.0199587628719345,-8.15459669185296,0.016060500685805,-11.0570866593685,-0.000348617675066019
"18",-7.74531436849139,0.0136710431205074,-11.1610632752966,0.0267916043430934,-9.08008098937409,0.0207236453404525,-8.07714042717462,0.0160968585066128,-10.9551026673054,0.0532279969524263
"19",-7.69245444567353,0.0134229170904819,-10.9970021227617,0.0285554956855709,-9.0212929319156,0.0214322118629738,-8.01270884513575,0.016063481637863,-10.8597891213334,0.0995620782395795
"20",-7.64071645248015,0.0132573091502692,-10.8270259432204,0.030278090033617,-8.95882693459524,0.0220635938699279,-7.96043559286703,0.0159542823952783,-10.7714528198427,0.138291078571961
"21",-7.5897480339657,0.0131612386066035,-10.6526044589465,0.0319157796728195,-8.89250190386162,0.0226051659816443,-7.91930871333035,0.0157677998736364,-10.6902344790586,0.169177236741527
"22",-7.53916876346608,0.0131227924898631,-10.4773882619348,0.033389947552931,-8.82257707347665,0.0230632992673053,-7.8874949454605,0.0155156476496004,-10.6158993519466,0.192172451943649
"23",-7.48863684917627,0.0131315517939081,-10.3050324609315,0.0346247076332626,-8.74937767089438,0.023447618284694,-7.86319209584445,0.0152108368154926,-10.5481486625078,0.207291381264705
"24",-7.43786193875787,0.0131785322962046,-10.1386305414896,0.0355563661921132,-8.67318935726139,0.0237665131395649,-7.8448480458479,0.0148645673494247,-10.4867090334918,0.214569991538272
"25",-7.38659639003576,0.0132559490639405,-9.98081043466859,0.0361313047696864,-8.59426438049898,0.0240273360219198,-7.83111958231278,0.0144865266894503,-10.4313293699017,0.214060509754602
"26",-7.33445573181029,0.0133516189240995,-9.83360626749541,0.0363084501134293,-8.51263234358034,0.0242268314692751,-7.82057409880253,0.0140828616752546,-10.3815028600629,0.20616340528743
"27",-7.2804421056817,0.0134340471064552,-9.69796036804501,0.036069272540433,-8.42757419354541,0.0243247135766521,-7.81093904810798,0.0136501822871631,-10.3357131793682,0.192541079551683
"28",-7.22352941563528,0.0134707861815114,-9.57447585302033,0.0354024366641776,-8.33828955764164,0.0242770302220215,-7.79998610989909,0.013183477106672,-10.2923739235684,0.174967286149678
"29",-7.16282556113867,0.0134335357226949,-9.46365590274678,0.0342988816958297,-8.2440864763376,0.024045614565155,-7.78576808902773,0.0126784288188057,-10.2500919846726,0.155002012001822
"30",-7.09755322591229,0.0132975519958196,-9.36591910986612,0.0327514572704987,-8.14436567496274,0.0235972533205025,-7.76657907848767,0.0121313128030389,-10.2076405004772,0.134021273959619
"31",-7.02742320798859,0.0130523753383891,-9.28151743236024,0.0307756658786438,-8.03904593682828,0.0229224374678117,-7.74148373730408,0.0115443647624065,-10.1643086965935,0.11295627322466
"32",-6.95370030864311,0.0127325198509629,-9.21028409823391,0.0284677470521842,-7.92976862997179,0.0220886822101952,-7.71184878151934,0.010940823766525,-10.1209153627958,0.0915221835903536
"33",-6.87788404775585,0.0123794328778033,-9.1519607896056,0.0259337792762507,-7.81841548630287,0.0211747177737629,-7.67942966459496,0.0103465575314616,-10.0785415834182,0.069195848831422
"34",-6.80131722159711,0.0120301955213213,-9.10629802566627,0.023268868631847,-7.70667076028307,0.0202510050923178,-7.64579888770473,0.00978466517866677,-10.0381518112646,0.0455110987465711
"35",-6.7252047045151,0.0117180479061494,-9.07305489327829,0.020558460093069,-7.59604495511165,0.0193807295615647,-7.61236792428185,0.0092758121870153,-10.0006080175793,0.0200518133480388
"36",-6.6501975592166,0.0114608972211526,-9.05166217946502,0.0178749212349182,-7.48741712600554,0.0185992050312373,-7.5797843138099,0.00883237447874673,-9.96614426790454,-0.00717216204501721
"37",-6.57519584926315,0.0112282273256765,-9.04027855635736,0.0152657792691494,-7.37971229098503,0.0178544814854531,-7.54620501106076,0.00844146466146645,-9.93287024766088,-0.0346596756805685
"38",-6.49879281234421,0.0109810238663746,-9.03690595797175,0.0127696216084434,-7.27150134883239,0.017079082313975,-7.50937138369945,0.00808551040330434,-9.89856222717698,-0.0606885026679701
"39",-6.41971368715245,0.0106839077260186,-9.0397229772627,0.0104213317621671,-7.16148828415029,0.0162118240323706,-7.46723786490293,0.00774853147636144,-9.86120389140532,-0.083697794763083
"40",-6.33680173570047,0.01030475100634,-9.04706655647469,0.00825248465292709,-7.04849611233259,0.0151971512788319,-7.41794934916119,0.00741597324818302,-9.81896442145245,-0.102270999027058
"41",-6.2495062032094,0.00982858220047429,-9.05761636736169,0.00629242109808679,-6.93201371058434,0.0140103794109735,-7.36056538280368,0.00708042848620455,-9.77086797338966,-0.115659041903461
"42",-6.15928558588574,0.00929755014606946,-9.07094730488115,0.00457061099125346,-6.81376564365609,0.0127301877940704,-7.29714595033902,0.00675809662715492,-9.71872363545897,-0.125288468537348
"43",-6.06795750303065,0.00876395150390117,-9.08685958032834,0.00311453113951636,-6.69586865012671,0.0114534628838974,-7.23029590271611,0.00646942441475322,-9.66485171340284,-0.132984759954946
"44",-5.97719110272319,0.0082757869071162,-9.10516763981703,0.00194917426067521,-6.58026516839086,0.0102691251144172,-7.16240889893398,0.00623314951691726,-9.61138326581699,-0.140425011083802
"45",-5.88852093315771,0.00787716311764327,-9.12569890341878,0.00109728901093689,-6.46873966747749,0.00925887484167899,-7.09568708430143,0.00606646148518219,-9.56027777519413,-0.149151769352809
"46",-5.80300337284232,0.0075984945353579,-9.14795754508064,0.00056671360072063,-6.3625237295985,0.00847970566785504,-7.03162469541117,0.00598066480780673,-9.51285705242997,-0.160222693098773
"47",-5.72021489828009,0.00742792280341225,-9.17016997932636,0.000313917086502931,-6.26114393688584,0.00791284995255361,-6.96950446007243,0.00596855850893539,-9.46844825465542,-0.173189605580123
"48",-5.63941938443367,0.00734463115567455,-9.19037372039023,0.000286053972988356,-6.1637650055554,0.00752333423884926,-6.90814788215917,0.00601911983891819,-9.42596334507265,-0.187287708374249
"49",-5.55993363337681,0.00732927899533806,-9.20675241868999,0.000434023924163757,-6.06961052364237,0.00727864417942735,-6.84646286539704,0.00612209652657643,-9.38439322869483,-0.201807852771513
"50",-5.48112296049947,0.00736387940563198,-9.21762352011155,0.000712161066573565,-5.9779580774457,0.00714852113075089,-6.78343645726183,0.00626794318999044,-9.34280114712247,-0.21609187843612
"51",-5.40238933518385,0.00743108395633722,-9.22156183479046,0.00107814788317012,-5.88811545070483,0.00710318808546306,-6.71813264093809,0.00644709633910681,-9.30026109456757,-0.229506444707291
"52",-5.32314524306842,0.00751235301126741,-9.2177747594116,0.00149331702759035,-5.79936114163848,0.00710863389859663,-6.64969881533216,0.00664801275029109,-9.25569330899924,-0.241376396984601
"53",-5.24283589320604,0.00758981857657287,-9.20565830336098,0.00192179632228834,-5.71100344547825,0.00713160022725887,-6.5773464900469,0.00685927866606552,-9.20803907087772,-0.251052286278689
"54",-5.16094419734184,0.0076468103626625,-9.18465353381648,0.00233010648871096,-5.62239670448313,0.00714104431717398,-6.50034210731603,0.00707023829986553,-9.15631221463698,-0.257929344465461
"55",-5.07698787231436,0.00766776416623752,-9.15424300662009,0.00268697841435083,-5.5329377943899,0.00710796989054144,-6.41800278445921,0.00727093604510573,-9.09959353632205,-0.261444035665323
"56",-4.99076749324051,0.00764515994875732,-9.11424939199225,0.00297053147652889,-5.44233680554416,0.00701740333657097,-6.33007767446224,0.00745558785996996,-9.0374094625035,-0.261348369287906
"57",-4.90308426667155,0.00759961692185041,-9.06569972455701,0.0031892213869116,-5.35140092141364,0.00690310050266811,-6.23785112720216,0.00763265693631891,-8.97082986119065,-0.258504094449024
"58",-4.81493308861078,0.00755728432315663,-9.00985367567012,0.0033581247682009,-5.26115256688483,0.0068084792941436,-6.14290281951177,0.00781349746829448,-8.90123190310949,-0.253989438549778
"59",-4.72724815231029,0.00754270898130966,-8.94789718702913,0.0034914184222357,-5.17255124049817,0.00677429030960973,-6.04671697246437,0.00800876679024845,-8.82990984233055,-0.248817394849999
"60",-4.64090719393915,0.00757894755775102,-8.88094755026262,0.00360244176757624,-5.08649792904322,0.00683880383835795,-5.95068900479894,0.00822847421489258,-8.75808078815061,-0.243940271254465
"61",-4.55647082577383,0.00768020964181613,-8.80990373732606,0.00370077902501851,-5.00355064339063,0.00702506131478066,-5.85573781799384,0.00847909448946199,-8.686539668589,-0.239970492444014
"62",-4.47342335440995,0.00783044473058203,-8.73500573013063,0.00378373430497288,-4.92309632245986,0.00730378290532426,-5.76117598102381,0.00875515757054515,-8.61465405003571,-0.236367444156106
"63",-4.39102108261921,0.00800725606400221,-8.65633140100609,0.00384588255842587,-4.84427576691447,0.00763477920607356,-5.66597275070865,0.00904864918398243,-8.54148757774036,-0.232346089902527
"64",-4.30856201326575,0.0081895001395876,-8.57395571031996,0.00388211305528455,-4.76627760504046,0.00798010788777964,-5.56915578662277,0.00935200040994845,-8.46615722830055,-0.227165853021957
"65",-4.22538316177202,0.00835720599542732,-8.48795086113549,0.00388760889498851,-4.68833521822325,0.00830392901260425,-5.46980737321428,0.00965805907004112,-8.38782985357343,-0.22012774109262
"66",-4.14079646809973,0.00848929796061572,-8.39837042876148,0.00385661589984434,-4.60966384582414,0.00856896568065183,-5.36697886870474,0.00995812917768663,-8.3055172258375,-0.210442078960602
"67",-4.0539083438926,0.00855715674710727,-8.30520318283338,0.0037789196058323,-4.52928428543268,0.00872653147158068,-5.25945016369283,0.0102363532328237,-8.21748960924151,-0.196851231151825
"68",-3.96381346859537,0.00853156070539504,-8.20842414228889,0.00364368410692923,-4.44621145131786,0.00872724702144515,-5.14598767364591,0.0104758404827185,-8.12191467892759,-0.178039521360773
"69",-3.86965497014599,0.00838484881268296,-8.10801084822245,0.00344065994166203,-4.35951270661545,0.00852436978711036,-5.02542435989,0.0106605970978833,-8.01705853197049,-0.152761880551283
"70",-3.77062149805147,0.0080908264526902,-8.0039431872762,0.00316014852846446,-4.26830470022185,0.00807363486000506,-4.89665569846879,0.0107754721276042,-7.9012797338216,-0.119839577153515
"71",-3.66630094880293,0.00763429889281968,-7.89646735438017,0.00279779803341296,-4.17212954925999,0.00734966426754794,-4.75919132675761,0.0108095651550325,-7.7735358573762,-0.0785451726324449
"72",-3.55771142488151,0.00703888536379646,-7.78686151869606,0.00236857374345437,-4.07205134315322,0.00639383591954559,-4.61476188224867,0.0107662054457941,-7.63486305170714,-0.0297264865850818
"73",-3.44616960893466,0.00633646246455351,-7.67659888566095,0.00189143074872758,-3.96945248426535,0.0052616998859041,-4.46555619418055,0.010651953484739,-7.48674894358247,0.0254289992410243
"74",-3.33292881674006,0.00555738325585308,-7.56708098480887,0.00138441356534591,-3.86564867614675,0.00400614824618167,-4.31365771549393,0.010473070550898,-7.33061135751734,0.0857898702792529
"75",-3.2191825242164,0.00473056184946749,-7.45964167465597,0.000864706784202101,-3.76189263934571,0.00267756272480753,-4.16105038878615,0.0102355350430146,-7.16780216544393,0.150277679940527
"76",-3.10615768845154,0.00388632982474151,-7.35556795363297,0.0003489522741726,-3.65944576092431,0.00132773647856089,-4.00977041906403,0.00994701419261179,-6.99996820595565,0.217644407856426
"77",-2.99537944656087,0.00306458126900279,-7.25615306528121,-0.000145922257386378,-3.55977946841785,2.09990526982093e-05,-3.86233652811211,0.00962256380538912,-6.83009302921988,0.285831458460323
"78",-2.88838971461032,0.00230607159757745,-7.16264585605603,-0.000603514231501372,-3.4643629703158,-0.00117761155692207,-3.72129278599516,0.00927846375386547,-6.66137172988363,0.352660704892236
"79",-2.78665898767423,0.00164967804422281,-7.07623659584478,-0.00100818001945287,-3.37459725768462,-0.00220605643309052,-3.58906538837175,0.00893025521181424,-6.49685313167921,0.416053878991415
"80",-2.69159010085401,0.00113249839102487,-6.99806007581761,-0.00134499499166984,-3.29181869945352,-0.00300513805174425,-3.46796886433548,0.00859277927534144,-6.3394474587968,0.474027331461553
"81",-2.6042693071968,0.000783477905229144,-6.92895530002858,-0.00160367786998605,-3.21702323505516,-0.00352982606185981,-3.35981327048089,0.00827847345969695,-6.19167799562895,0.524902587148851
"82",-2.52473451700174,0.000604669815088929,-6.86876003314815,-0.00179009142885692,-3.15005663690959,-0.00378252702818311,-3.2647489474717,0.00799234003622026,-6.05494378429116,0.567929127407199
"83",-2.45277321044664,0.000591673223545807,-6.81707908631502,-0.00191373615673911,-3.09049644206897,-0.00377683068068327,-3.18252667877466,0.00773745527644543,-5.93033048184566,0.60260168205589
"84",-2.38818027458635,0.000740238640729949,-6.77353231198852,-0.00198371867192403,-3.03793665178593,-0.00352580162432483,-3.11290503447286,0.00751675619358583,-5.81887434963174,0.628438584905789
"85",-2.33075766789678,0.0010462611680461,-6.73775389572572,-0.00200877089686202,-2.99198694880412,-0.00304200421906376,-3.05565003773355,0.00733304753156055,-5.72156473641621,0.64498057717005
"86",-2.28017558787913,0.00150230470415867,-6.70926904807602,-0.00199779576365248,-2.95215879782997,-0.00234229127572123,-3.01028833850628,0.00718762944392173,-5.63895021762107,0.652041135470515
"87",-2.23556814126124,0.00208747623956445,-6.68713565001194,-0.00196142330675111,-2.91753467277818,-0.00146172571703403,-2.97538787794127,0.0070762816399245,-5.56998514485416,0.650438866423015
"88",-2.19596802208524,0.00277831443093375,-6.67032876837887,-0.00191036980460303,-2.88712274619187,-0.00043863784080413,-2.9493316876947,0.00699359916172204,-5.51327583591035,0.641206906985436
"89",-2.16044612614417,0.00355228773858655,-6.65786394432212,-0.00185492006263543,-2.85997054737066,0.000690167212384953,-2.93056656397103,0.00693439037548683,-5.467482631089,0.625338051441789
"90",-2.12810978911763,0.00438775148905779,-6.64879532665818,-0.00180494745095107,-2.83516314411529,0.00188933892771358,-2.91760012826248,0.00689366713508678,-5.43131741869068,0.603786604356438
"91",-2.09816123572645,0.00526558002482093,-6.64227113812781,-0.0017678576289357,-2.81191511526839,0.00312879348746055,-2.90907180272203,0.00686691447830685,-5.40343998616359,0.577502591882596
"92",-2.07007162219949,0.00617401502104183,-6.63769919921672,-0.00174254394476026,-2.78984263345889,0.00439498201524562,-2.90396564487381,0.00685089688043803,-5.38215984104493,0.5475282469298
"93",-2.04339122470676,0.00710338896891837,-6.63456606275212,-0.00172590550248643,-2.76866841820935,0.005678679886297,-2.90137681428357,0.00684277593137296,-5.36575150209945,0.514897883992234
"94",-2.01768732374832,0.00804440163067518,-6.63237772688756,-0.00171495884627873,-2.74812566772588,0.0069710133802313,-2.90043474211983,0.00683982072820731,-5.35255482890875,0.48060660089568
"95",-1.99254345839869,0.00898810390458709,-6.63065878179062,-0.00170683280677921,-2.72795759942344,0.00826344425783026,-2.90030162717126,0.00683940315736853,-5.34097215465082,0.445612000444091
"96",-1.9676232158373,0.00992729403296586,-6.62902569152507,-0.00169921111521079,-2.70795670138364,0.00954910859640254,-2.90030162812683,0.00683940316018634,-5.32971445824752,0.410685921043477
"97",-1.94285824271996,0.0108606323912952,-6.62740277648229,-0.00169163691177613,-2.68808042204736,0.0108267624035156,-2.90030162907648,0.00683940316298695,-5.31852690467123,0.375977454008226
